Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-06-08,ADANIPORTS,EQ,341.15,343.1,347.65,340.95,342.25,343.3,343.89,2771175,95297310570000.0,42835,1225796,0.44229999999999997
2020-06-09,ADANIPORTS,EQ,343.3,344.5,351.35,341.3,346.05,346.05,346.59,3388265,117433253050000.0,37841,1349365,0.3982
2020-06-10,ADANIPORTS,EQ,346.05,346.05,349.75,340.4,348.45,346.55,344.84,2324983,80174834495000.0,34849,437016,0.188
2020-06-11,ADANIPORTS,EQ,346.55,348.0,348.0,336.8,339.9,338.65,341.36,4260956,145452514200000.0,42835,1752011,0.4112
2020-06-12,ADANIPORTS,EQ,338.65,330.65,347.8,327.7,346.85,345.3,336.73,3022904,101791200690000.0,36684,528390,0.1748
2020-06-15,ADANIPORTS,EQ,345.3,346.5,346.85,336.85,340.0,339.75,341.23,2474153,84426737245000.0,29718,504531,0.2039
2020-06-16,ADANIPORTS,EQ,339.75,347.0,347.0,335.9,340.7,340.8,341.24,2686021,91657388610000.0,38327,699207,0.26030000000000003
2020-06-17,ADANIPORTS,EQ,340.8,341.0,346.45,337.55,341.95,341.3,342.98,2458021,84306025995000.0,30813,844852,0.3437
2020-06-18,ADANIPORTS,EQ,341.3,340.35,345.5,335.15,344.4,343.8,340.18,2502231,85121320540000.0,39030,497626,0.19890000000000002
2020-06-19,ADANIPORTS,EQ,343.8,344.4,354.9,341.5,350.0,348.9,350.32,6917610,242339917785000.0,66707,3258272,0.47100000000000003
2020-06-22,ADANIPORTS,EQ,348.9,350.0,353.9,346.7,349.5,349.6,350.5,2515842,88180663185000.0,44862,502324,0.1997
2020-06-23,ADANIPORTS,EQ,349.6,350.0,357.2,346.75,355.3,355.65,352.28,2715738,95670426070000.0,44860,353421,0.2801
2020-06-24,ADANIPORTS,EQ,355.65,355.35,360.0,349.6,352.2,351.85,355.39,2841354,100978674590000.0,43565,1130322,0.39780000000000004
2020-06-25,ADANIPORTS,EQ,351.85,349.8,351.5,342.2,345.5,344.0,346.14,5056963,175040165100000.0,53008,2467305,0.4879
2020-06-26,ADANIPORTS,EQ,344.0,348.0,349.0,339.6,343.8,343.2,343.63,3979519,136748914934999.98,34835,1805050,0.4536
2020-06-29,ADANIPORTS,EQ,343.2,341.35,344.05,339.1,343.0,342.65,341.58,3263757,111481781434999.98,32309,1550398,0.47500000000000003
2020-06-30,ADANIPORTS,EQ,342.65,344.0,349.8,342.4,346.1,343.9,346.62,2828820,98051229470000.0,37742,1229174,0.43450000000000005
